Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Fastest Lap,Status
17,19,6,-13,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.294,,Running
17,20,11,-9,Monica Niculescu,Dacia Racing Team,Medium,1:24.934,,Running
18,1,3,2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:26.790,,Running
18,2,6,4,Mark Graham,Trike Motorsports,Medium,1:24.404,,Running
18,3,5,2,Ye Li,Racing Life,Soft,1:26.392,,Running
18,4,9,5,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.956,,Running
18,5,10,5,Franc Abel,Orange Wheel Racing,Medium,1:24.554,,Running
18,6,8,2,Al Fabet,Villiuride Racing,Hard,1:26.063,,Running
18,7,11,4,Niamh Murphy,Racing Life,Medium,1:25.289,,Running
18,8,16,8,Liesje Roser,Dacia Racing Team,Medium,1:23.686,,Running
18,9,12,3,Kanno Sora,LFL Engineering,Hard,1:25.405,,Running
18,10,15,5,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.333,,Running
18,11,14,3,Erwin Kramer,OHSN Racing,Hard,1:26.608,,Running
18,12,13,1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.129,,Running
18,13,17,4,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.317,,Running
18,14,1,-13,Aida Haque,Scuderia Ivanov Racing,Medium,1:25.764,,Running
18,15,2,-13,Sydney Aspen,Villiuride Racing,Medium,1:25.447,,Running
18,16,18,2,Jamar Henry,Trike Motorsports,Medium,1:25.278,,Running
18,17,19,2,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.134,,Running
18,18,4,-14,Berend Boer,Orange Wheel Racing,Medium,1:24.980,,Running
18,19,7,-12,Aleksa Kozlov,LFL Engineering,Medium,1:26.112,,Running
18,20,20,0,Monica Niculescu,Dacia Racing Team,Medium,1:25.472,,Running
19,1,2,1,Mark Graham,Trike Motorsports,Medium,1:24.516,,Running
19,2,5,3,Franc Abel,Orange Wheel Racing,Medium,1:24.032,,Running
19,3,6,3,Al Fabet,Villiuride Racing,Hard,1:24.819,,Running
19,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.698,,Running
19,5,7,2,Niamh Murphy,Racing Life,Medium,1:25.530,,Running
19,6,11,5,Erwin Kramer,OHSN Racing,Hard,1:23.832,,Running
19,7,8,1,Liesje Roser,Dacia Racing Team,Medium,1:25.234,,Running
19,8,9,1,Kanno Sora,LFL Engineering,Hard,1:26.145,,Running
19,9,10,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.091,,Running
19,10,13,3,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.164,,Running
19,11,12,1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Running
19,12,14,2,Aida Haque,Scuderia Ivanov Racing,Medium,1:23.791,,Running
19,13,15,2,Sydney Aspen,Villiuride Racing,Medium,1:24.284,,Running
19,14,16,2,Jamar Henry,Trike Motorsports,Medium,1:25.016,,Running
19,15,18,3,Berend Boer,Orange Wheel Racing,Medium,1:24.335,,Running
19,16,17,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.698,,Running
19,17,1,-16,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.689,,Running
19,18,3,-15,Ye Li,Racing Life,Medium,1:24.693,,Running
19,19,19,0,Aleksa Kozlov,LFL Engineering,Medium,1:23.721,,Running
19,20,20,0,Monica Niculescu,Dacia Racing Team,Medium,1:24.855,,Running
20,1,1,0,Mark Graham,Trike Motorsports,Medium,1:24.027,,Running
20,2,2,0,Franc Abel,Orange Wheel Racing,Medium,1:23.713,,Running
20,3,3,0,Al Fabet,Villiuride Racing,Hard,1:24.045,,Running
20,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.685,,Running
20,5,5,0,Niamh Murphy,Racing Life,Medium,1:26.117,,Running
20,6,7,1,Liesje Roser,Dacia Racing Team,Medium,1:24.701,,Running
20,7,8,1,Kanno Sora,LFL Engineering,Hard,1:24.696,,Running
20,8,6,-2,Erwin Kramer,OHSN Racing,Hard,1:26.140,,Running
20,9,9,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.693,,Running
20,10,13,3,Sydney Aspen,Villiuride Racing,Medium,1:24.352,,Running
20,11,10,-1,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.271,,Running
20,12,12,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.917,,Running
20,13,14,1,Jamar Henry,Trike Motorsports,Medium,1:25.163,,Running
20,14,15,1,Berend Boer,Orange Wheel Racing,Medium,1:25.513,,Running
20,15,17,2,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:25.122,,Running
20,16,19,3,Aleksa Kozlov,LFL Engineering,Medium,1:24.030,,Running
20,17,18,1,Ye Li,Racing Life,Medium,1:23.997,,Running
20,18,16,-2,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.539,,Running
20,19,20,1,Monica Niculescu,Dacia Racing Team,Medium,1:23.503,,Running
20,20,11,-9,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
21,1,1,0,Mark Graham,Trike Motorsports,Medium,1:25.867,,Running
21,2,2,0,Franc Abel,Orange Wheel Racing,Medium,1:24.270,,Running
21,3,3,0,Al Fabet,Villiuride Racing,Hard,1:25.393,,Running
21,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.905,,Running
21,5,5,0,Niamh Murphy,Racing Life,Medium,1:24.276,,Running
21,6,6,0,Liesje Roser,Dacia Racing Team,Medium,1:24.679,,Running
21,7,7,0,Kanno Sora,LFL Engineering,Hard,1:24.696,,Running
21,8,9,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.412,,Running
21,9,10,1,Sydney Aspen,Villiuride Racing,Medium,1:24.859,,Running
21,10,12,2,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.293,,Running
21,11,11,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.574,,Running
21,12,8,-4,Erwin Kramer,OHSN Racing,Hard,1:26.676,,Running
21,13,13,0,Jamar Henry,Trike Motorsports,Medium,1:25.097,,Running
21,14,16,2,Aleksa Kozlov,LFL Engineering,Medium,1:23.981,,Running
21,15,14,-1,Berend Boer,Orange Wheel Racing,Medium,1:23.712,,Running
21,16,15,-1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.887,,Running
21,17,18,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.897,,Running
21,18,17,-1,Ye Li,Racing Life,Medium,1:25.207,,Running
21,19,19,0,Monica Niculescu,Dacia Racing Team,Medium,1:25.502,,Running
21,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
22,1,1,0,Mark Graham,Trike Motorsports,Medium,1:25.170,,Running
22,2,2,0,Franc Abel,Orange Wheel Racing,Medium,1:26.657,,Running
22,3,3,0,Al Fabet,Villiuride Racing,Hard,1:24.783,,Running
22,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.123,,Running
22,5,5,0,Niamh Murphy,Racing Life,Medium,1:24.705,,Running
22,6,6,0,Liesje Roser,Dacia Racing Team,Medium,1:25.222,,Running
22,7,7,0,Kanno Sora,LFL Engineering,Hard,1:25.694,,Running
22,8,8,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.793,,Running
22,9,9,0,Sydney Aspen,Villiuride Racing,Medium,1:24.084,,Running
22,10,10,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.353,,Running
22,11,11,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.168,,Running
22,12,12,0,Erwin Kramer,OHSN Racing,Hard,1:24.665,,Running
22,13,13,0,Jamar Henry,Trike Motorsports,Medium,1:23.885,,Running
22,14,14,0,Aleksa Kozlov,LFL Engineering,Medium,1:24.816,,Running
22,15,15,0,Berend Boer,Orange Wheel Racing,Medium,1:24.710,,Running
22,16,16,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.548,,Running
22,17,17,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.933,,Running
22,18,18,0,Ye Li,Racing Life,Medium,1:26.265,,Running
22,19,19,0,Monica Niculescu,Dacia Racing Team,Medium,1:23.162,,Running
22,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
23,1,1,0,Mark Graham,Trike Motorsports,Medium,1:26.101,,Running
23,2,3,1,Al Fabet,Villiuride Racing,Hard,1:24.913,,Running
23,3,2,-1,Franc Abel,Orange Wheel Racing,Medium,1:25.490,,Running
23,4,7,3,Kanno Sora,LFL Engineering,Hard,1:24.416,,Running
23,5,5,0,Niamh Murphy,Racing Life,Medium,1:26.238,,Running
23,6,10,4,Aida Haque,Scuderia Ivanov Racing,Medium,1:23.903,,Running
23,7,9,2,Sydney Aspen,Villiuride Racing,Medium,1:24.640,,Running
23,8,11,3,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.924,,Running
23,9,6,-3,Liesje Roser,Dacia Racing Team,Medium,1:26.598,,Running
23,10,8,-2,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.460,,Running
23,11,12,1,Erwin Kramer,OHSN Racing,Hard,1:26.380,,Running
23,12,13,1,Jamar Henry,Trike Motorsports,Medium,1:23.977,,Running
23,13,14,1,Aleksa Kozlov,LFL Engineering,Medium,1:23.941,,Running
23,14,15,1,Berend Boer,Orange Wheel Racing,Medium,1:23.901,,Running
23,15,17,2,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.783,,Running
23,16,16,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:25.238,,Running
23,17,18,1,Ye Li,Racing Life,Medium,1:23.917,,Running
23,18,19,1,Monica Niculescu,Dacia Racing Team,Medium,1:24.853,,Running
23,19,4,-15,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.517,,Running
23,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
24,1,2,1,Al Fabet,Villiuride Racing,Hard,1:23.455,,Running
24,2,3,1,Franc Abel,Orange Wheel Racing,Medium,1:25.419,,Running
24,3,5,2,Niamh Murphy,Racing Life,Medium,1:25.121,,Running
24,4,4,0,Kanno Sora,LFL Engineering,Hard,1:25.497,,Running
24,5,7,2,Sydney Aspen,Villiuride Racing,Medium,1:23.591,,Running
24,6,6,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.622,,Running
24,7,8,1,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.733,,Running
24,8,12,4,Jamar Henry,Trike Motorsports,Medium,1:24.975,,Running
24,9,11,2,Erwin Kramer,OHSN Racing,Hard,1:24.684,,Running
24,10,13,3,Aleksa Kozlov,LFL Engineering,Medium,1:23.630,,Running
24,11,14,3,Berend Boer,Orange Wheel Racing,Medium,1:24.334,,Running
24,12,16,4,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.744,,Running
24,13,15,2,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.168,,Running
24,14,17,3,Ye Li,Racing Life,Medium,1:25.636,,Running
24,15,18,3,Monica Niculescu,Dacia Racing Team,Medium,1:23.904,,Running
24,16,1,-15,Mark Graham,Trike Motorsports,Hard,1:24.399,,Running
24,17,19,2,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.838,,Running
24,18,9,-9,Liesje Roser,Dacia Racing Team,Hard,1:24.566,,Running
24,19,10,-9,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.136,,Running
24,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
25,1,1,0,Al Fabet,Villiuride Racing,Hard,1:25.284,,Running
25,2,5,3,Sydney Aspen,Villiuride Racing,Medium,1:23.674,,Running
25,3,4,1,Kanno Sora,LFL Engineering,Hard,1:25.618,,Running
25,4,8,4,Jamar Henry,Trike Motorsports,Medium,1:23.559,,Running
25,5,6,1,Aida Haque,Scuderia Ivanov Racing,Medium,1:26.036,,Running
25,6,7,1,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.572,,Running
25,7,10,3,Aleksa Kozlov,LFL Engineering,Medium,1:24.436,,Running
25,8,11,3,Berend Boer,Orange Wheel Racing,Medium,1:24.791,,Running
25,9,12,3,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.241,,Running
25,10,9,-1,Erwin Kramer,OHSN Racing,Hard,1:26.895,,Running
25,11,14,3,Ye Li,Racing Life,Medium,1:23.955,,Running
25,12,13,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.033,,Running
25,13,15,2,Monica Niculescu,Dacia Racing Team,Medium,1:24.622,,Running
25,14,16,2,Mark Graham,Trike Motorsports,Hard,1:26.357,,Running
25,15,2,-13,Franc Abel,Orange Wheel Racing,Hard,1:25.544,,Running
25,16,17,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.560,,Running
25,17,3,-14,Niamh Murphy,Racing Life,Hard,1:24.827,,Running
25,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.561,,Running
25,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.636,,Running
25,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
26,1,1,0,Al Fabet,Villiuride Racing,Hard,1:25.447,,Running
26,2,2,0,Sydney Aspen,Villiuride Racing,Medium,1:24.160,,Running
26,3,3,0,Kanno Sora,LFL Engineering,Hard,1:25.406,,Running
26,4,4,0,Jamar Henry,Trike Motorsports,Medium,1:24.011,,Running
26,5,5,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.814,,Running
26,6,8,2,Berend Boer,Orange Wheel Racing,Medium,1:23.747,,Running
26,7,6,-1,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.820,,Running
26,8,7,-1,Aleksa Kozlov,LFL Engineering,Medium,1:25.711,,Running
26,9,11,2,Ye Li,Racing Life,Medium,1:22.858,,Running
26,10,9,-1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.311,,Running
26,11,13,2,Monica Niculescu,Dacia Racing Team,Medium,1:23.667,,Running
26,12,12,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:23.855,,Running
26,13,10,-3,Erwin Kramer,OHSN Racing,Hard,1:26.681,,Running
26,14,14,0,Mark Graham,Trike Motorsports,Hard,1:24.276,,Running
26,15,15,0,Franc Abel,Orange Wheel Racing,Hard,1:24.808,,Running
26,16,16,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.159,,Running
26,17,17,0,Niamh Murphy,Racing Life,Hard,1:24.558,,Running
26,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.016,,Running
26,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.511,,Running
26,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
27,1,1,0,Al Fabet,Villiuride Racing,Hard,1:24.191,,Running
27,2,2,0,Sydney Aspen,Villiuride Racing,Medium,1:25.037,,Running
27,3,4,1,Jamar Henry,Trike Motorsports,Medium,1:24.563,,Running
27,4,5,1,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.500,,Running
27,5,3,-2,Kanno Sora,LFL Engineering,Hard,1:24.950,,Running
27,6,9,3,Ye Li,Racing Life,Medium,1:24.499,,Running
27,7,6,-1,Berend Boer,Orange Wheel Racing,Medium,1:25.508,,Running
27,8,10,2,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.373,,Running
27,9,7,-2,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.145,,Running
27,10,8,-2,Aleksa Kozlov,LFL Engineering,Medium,1:24.942,,Running
27,11,11,0,Monica Niculescu,Dacia Racing Team,Medium,1:25.263,,Running
27,12,12,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.810,,Running
27,13,13,0,Erwin Kramer,OHSN Racing,Hard,1:24.782,,Running
27,14,14,0,Mark Graham,Trike Motorsports,Hard,1:23.729,,Running
27,15,15,0,Franc Abel,Orange Wheel Racing,Hard,1:25.513,,Running
27,16,16,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:26.313,,Running
27,17,17,0,Niamh Murphy,Racing Life,Hard,1:26.055,,Running
27,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.963,,Running
27,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.342,,Running
27,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
28,1,1,0,Al Fabet,Villiuride Racing,Hard,1:24.921,,Running
28,2,2,0,Sydney Aspen,Villiuride Racing,Medium,1:25.721,,Running
28,3,4,1,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.569,,Running
28,4,3,-1,Jamar Henry,Trike Motorsports,Medium,1:25.101,,Running
28,5,5,0,Kanno Sora,LFL Engineering,Hard,1:25.142,,Running
28,6,7,1,Berend Boer,Orange Wheel Racing,Medium,1:24.437,,Running
28,7,10,3,Aleksa Kozlov,LFL Engineering,Medium,1:23.721,,Running
28,8,8,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.230,,Running
28,9,9,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.693,,Running
28,10,6,-4,Ye Li,Racing Life,Medium,1:25.659,,Running
28,11,11,0,Monica Niculescu,Dacia Racing Team,Medium,1:24.915,,Running
28,12,12,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.068,,Running
28,13,13,0,Erwin Kramer,OHSN Racing,Hard,1:24.630,,Running
28,14,14,0,Mark Graham,Trike Motorsports,Hard,1:25.360,,Running
28,15,15,0,Franc Abel,Orange Wheel Racing,Hard,1:24.068,,Running
28,16,16,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:23.529,,Running
28,17,17,0,Niamh Murphy,Racing Life,Hard,1:25.590,,Running
28,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.950,,Running
28,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.682,,Running
28,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
29,1,1,0,Al Fabet,Villiuride Racing,Hard,1:25.609,,Running
29,2,5,3,Kanno Sora,LFL Engineering,Hard,1:24.127,,Running
29,3,3,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.006,,Running
29,4,2,-2,Sydney Aspen,Villiuride Racing,Medium,1:25.460,,Running
29,5,4,-1,Jamar Henry,Trike Motorsports,Medium,1:24.607,,Running
29,6,6,0,Berend Boer,Orange Wheel Racing,Medium,1:24.666,,Running
29,7,8,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.458,,Running
29,8,9,1,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.067,,Running
29,9,7,-2,Aleksa Kozlov,LFL Engineering,Medium,1:25.899,,Running
29,10,10,0,Ye Li,Racing Life,Medium,1:26.019,,Running
29,11,11,0,Monica Niculescu,Dacia Racing Team,Medium,1:24.446,,Running
29,12,12,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.099,,Running
29,13,13,0,Erwin Kramer,OHSN Racing,Hard,1:26.398,,Running
29,14,14,0,Mark Graham,Trike Motorsports,Hard,1:25.720,,Running
29,15,16,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.835,,Running
29,16,15,-1,Franc Abel,Orange Wheel Racing,Hard,1:25.562,,Running
29,17,17,0,Niamh Murphy,Racing Life,Hard,1:25.058,,Running
29,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:24.966,,Running
29,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:24.965,,Running
29,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
30,1,1,0,Al Fabet,Villiuride Racing,Hard,1:25.097,,Running
30,2,4,2,Sydney Aspen,Villiuride Racing,Medium,1:23.967,,Running
30,3,3,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:23.702,,Running
30,4,2,-2,Kanno Sora,LFL Engineering,Hard,1:25.429,,Running
30,5,5,0,Jamar Henry,Trike Motorsports,Medium,1:25.602,,Running
30,6,7,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:25.066,,Running
30,7,9,2,Aleksa Kozlov,LFL Engineering,Medium,1:24.904,,Running
30,8,6,-2,Berend Boer,Orange Wheel Racing,Medium,1:25.423,,Running
30,9,10,1,Ye Li,Racing Life,Medium,1:24.009,,Running
30,10,11,1,Monica Niculescu,Dacia Racing Team,Medium,1:24.370,,Running
30,11,12,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.761,,Running
30,12,8,-4,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.112,,Running
30,13,13,0,Erwin Kramer,OHSN Racing,Hard,1:25.836,,Running
30,14,14,0,Mark Graham,Trike Motorsports,Hard,1:24.462,,Running
30,15,16,1,Franc Abel,Orange Wheel Racing,Hard,1:24.748,,Running
30,16,15,-1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:26.548,,Running
30,17,17,0,Niamh Murphy,Racing Life,Hard,1:24.733,,Running
30,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:26.029,,Running
30,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.396,,Running
30,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
31,1,1,0,Al Fabet,Villiuride Racing,Hard,1:24.986,,Running
31,2,4,2,Kanno Sora,LFL Engineering,Hard,1:24.627,,Running
31,3,2,-1,Sydney Aspen,Villiuride Racing,Medium,1:25.830,,Running
31,4,3,-1,Aida Haque,Scuderia Ivanov Racing,Medium,1:26.379,,Running
31,5,6,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:23.673,,Running
31,6,5,-1,Jamar Henry,Trike Motorsports,Medium,1:25.657,,Running
31,7,7,0,Aleksa Kozlov,LFL Engineering,Medium,1:24.338,,Running
31,8,8,0,Berend Boer,Orange Wheel Racing,Medium,1:24.869,,Running
31,9,10,1,Monica Niculescu,Dacia Racing Team,Medium,1:24.750,,Running
31,10,9,-1,Ye Li,Racing Life,Medium,1:25.517,,Running
31,11,11,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.414,,Running
31,12,12,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.733,,Running
31,13,14,1,Mark Graham,Trike Motorsports,Hard,1:25.258,,Running
31,14,13,-1,Erwin Kramer,OHSN Racing,Hard,1:24.899,,Running
31,15,15,0,Franc Abel,Orange Wheel Racing,Hard,1:24.689,,Running
31,16,16,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.081,,Running
31,17,17,0,Niamh Murphy,Racing Life,Hard,1:25.808,,Running
31,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:26.248,,Running
31,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.065,,Running
31,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
32,1,1,0,Al Fabet,Villiuride Racing,Hard,1:24.018,,Running
32,2,3,1,Sydney Aspen,Villiuride Racing,Medium,1:24.182,,Running
32,3,2,-1,Kanno Sora,LFL Engineering,Hard,1:25.827,,Running
32,4,6,2,Jamar Henry,Trike Motorsports,Medium,1:24.380,,Running
32,5,4,-1,Aida Haque,Scuderia Ivanov Racing,Medium,1:25.638,,Running
32,6,5,-1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:25.091,,Running
32,7,7,0,Aleksa Kozlov,LFL Engineering,Medium,1:24.697,,Running
32,8,9,1,Monica Niculescu,Dacia Racing Team,Medium,1:24.292,,Running
32,9,12,3,Eli Huertez,Pulang Kabayo Racing,Hard,1:23.591,,Running
32,10,8,-2,Berend Boer,Orange Wheel Racing,Medium,1:26.231,,Running
32,11,10,-1,Ye Li,Racing Life,Medium,1:25.064,,Running
32,12,11,-1,Fidan Basak,Pulang Kabayo Racing,Medium,1:26.488,,Running
32,13,14,1,Erwin Kramer,OHSN Racing,Hard,1:25.264,,Running
32,14,13,-1,Mark Graham,Trike Motorsports,Hard,1:25.625,,Running
32,15,15,0,Franc Abel,Orange Wheel Racing,Hard,1:24.603,,Running
32,16,16,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.620,,Running
32,17,17,0,Niamh Murphy,Racing Life,Hard,1:24.757,,Running
32,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:26.606,,Running
32,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:24.812,,Running
32,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
33,1,1,0,Al Fabet,Villiuride Racing,Hard,1:25.342,,Running
33,2,2,0,Sydney Aspen,Villiuride Racing,Medium,1:25.080,,Running
33,3,4,1,Jamar Henry,Trike Motorsports,Medium,1:24.434,,Running
33,4,5,1,Aida Haque,Scuderia Ivanov Racing,Medium,1:26.071,,Running
33,5,7,2,Aleksa Kozlov,LFL Engineering,Medium,1:25.050,,Running
33,6,6,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:25.753,,Running
33,7,8,1,Monica Niculescu,Dacia Racing Team,Medium,1:24.339,,Running
33,8,10,2,Berend Boer,Orange Wheel Racing,Medium,1:24.513,,Running
33,9,9,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.076,,Running
33,10,11,1,Ye Li,Racing Life,Medium,1:25.143,,Running
33,11,12,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.334,,Running
33,12,14,2,Mark Graham,Trike Motorsports,Hard,1:24.792,,Running
33,13,13,0,Erwin Kramer,OHSN Racing,Hard,1:24.222,,Running
33,14,15,1,Franc Abel,Orange Wheel Racing,Hard,1:24.901,,Running
33,15,16,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.084,,Running
33,16,3,-13,Kanno Sora,LFL Engineering,Soft,1:24.882,,Running
33,17,17,0,Niamh Murphy,Racing Life,Hard,1:26.294,,Running
33,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.389,,Running
33,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:24.786,,Running
33,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
34,1,1,0,Al Fabet,Villiuride Racing,Hard,1:25.247,,Running
34,2,3,1,Jamar Henry,Trike Motorsports,Medium,1:23.727,,Running
34,3,2,-1,Sydney Aspen,Villiuride Racing,Medium,1:25.424,,Running
34,4,4,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.640,,Running
34,5,5,0,Aleksa Kozlov,LFL Engineering,Medium,1:24.846,,Running
34,6,6,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.657,,Running
34,7,8,1,Berend Boer,Orange Wheel Racing,Medium,1:25.311,,Running
34,8,7,-1,Monica Niculescu,Dacia Racing Team,Medium,1:25.465,,Running
34,9,10,1,Ye Li,Racing Life,Medium,1:23.958,,Running
34,10,12,2,Mark Graham,Trike Motorsports,Hard,1:24.766,,Running
34,11,11,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:26.171,,Running
34,12,13,1,Erwin Kramer,OHSN Racing,Hard,1:27.130,,Running
34,13,15,2,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:23.875,,Running
34,14,14,0,Franc Abel,Orange Wheel Racing,Hard,1:24.554,,Running
34,15,16,1,Kanno Sora,LFL Engineering,Soft,1:23.820,,Running
